,Timestamp,StimulusName,EventSource,GazeLeftx,GazeRightx,GazeLefty,GazeRighty,PupilLeft,PupilRight,FixationSeq,SaccadeSeq,Blink,GazeAOI
0,2476,Creampie,E,865.0,865.0,605.0,605.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
1,2478,Creampie,E,865.0,865.0,605.0,605.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
2,2478,Creampie,E,865.0,865.0,605.0,605.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
3,2480,Creampie,E,878.75,878.75,615.0,615.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
4,2482,Creampie,E,882.5,882.5,618.75,618.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
5,2483,Creampie,E,885.0,885.0,621.25,621.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
6,2484,Creampie,E,888.75,888.75,622.5,622.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
7,2485,Creampie,E,890.0,890.0,625.0,625.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
8,2486,Creampie,E,891.25,891.25,625.0,625.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
9,2487,Creampie,E,893.75,893.75,628.75,628.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
10,2488,Creampie,E,895.0,895.0,628.75,628.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
11,2489,Creampie,E,898.75,898.75,630.0,630.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
12,2490,Creampie,E,900.0,900.0,632.5,632.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
13,2491,Creampie,E,901.25,901.25,634.9999999999999,634.9999999999999,7.0,7.0,-1.0,-1.0,-1.0,-1.0
14,2492,Creampie,E,903.75,903.75,636.25,636.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
15,2493,Creampie,E,905.0,905.0,637.5,637.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
16,2494,Creampie,E,907.5,907.5,640.0,640.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
17,2495,Creampie,E,908.75,908.75,641.25,641.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
18,2498,Creampie,E,911.25,911.25,645.0,645.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
19,2499,Creampie,E,913.75,913.75,646.25,646.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
20,2499,Creampie,E,915.0,915.0,647.5000000000001,647.5000000000001,7.0,7.0,-1.0,-1.0,-1.0,-1.0
21,2500,Creampie,E,917.5,917.5,650.0,650.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
22,2501,Creampie,E,918.75,918.75,651.25,651.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
23,2502,Creampie,E,920.0,920.0,652.5,652.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
24,2503,Creampie,E,921.25,921.25,653.75,653.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
25,2505,Creampie,E,925.0,925.0,657.5,657.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
26,2506,Creampie,E,925.0,925.0,658.75,658.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
27,2507,Creampie,E,926.25,926.25,660.0,660.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
