,Timestamp,StimulusName,EventSource,GazeLeftx,GazeRightx,GazeLefty,GazeRighty,PupilLeft,PupilRight,FixationSeq,SaccadeSeq,Blink,GazeAOI
0,2370,BibJump,ET,1108.75,1108.75,526.25,526.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
1,2372,BibJump,ET,1108.75,1108.75,526.25,526.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
2,2372,BibJump,ET,1108.75,1108.75,526.25,526.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
3,2372,BibJump,ET,1108.75,1108.75,526.25,526.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
4,2373,BibJump,ET,1108.75,1108.75,526.25,526.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
5,2457,BibJump,ET,1071.25,1071.25,522.5,522.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
6,2546,BibJump,ET,1042.5,1042.5,520.0,520.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
7,2547,BibJump,ET,960.0,960.0,540.0,540.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
8,2548,BibJump,ET,696.25,696.25,490.0,490.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
9,2548,BibJump,ET,696.25,696.25,490.0,490.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
10,2549,BibJump,ET,690.0,690.0,493.75,493.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
11,2550,BibJump,ET,690.0,690.0,493.75,493.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
12,2550,BibJump,ET,688.75,688.75,498.75,498.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
13,2550,BibJump,ET,688.75,688.75,498.75,498.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
14,2551,BibJump,ET,688.75,688.75,498.75,498.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
15,2551,BibJump,ET,688.75,688.75,498.75,498.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
16,2552,BibJump,ET,688.75,688.75,498.75,498.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
17,2552,BibJump,ET,688.75,688.75,498.75,498.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
18,2552,BibJump,ET,688.75,688.75,498.75,498.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
19,2552,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
20,2553,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
21,2553,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
22,2553,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
23,2554,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
24,2554,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
25,2555,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
26,2555,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
27,2555,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
28,2555,BibJump,ET,700.0,700.0,517.5,517.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
29,2556,BibJump,ET,936.25,936.25,548.75,548.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
30,2556,BibJump,ET,936.25,936.25,548.75,548.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
31,2556,BibJump,ET,936.25,936.25,548.75,548.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
32,2556,BibJump,ET,936.25,936.25,548.75,548.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
33,2557,BibJump,ET,1201.25,1201.25,571.25,571.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
34,2557,BibJump,ET,1201.25,1201.25,571.25,571.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
35,2557,BibJump,ET,1201.25,1201.25,571.25,571.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
36,2558,BibJump,ET,1201.25,1201.25,571.25,571.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
37,2559,BibJump,ET,1218.75,1218.75,573.75,573.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
38,2560,BibJump,ET,1218.75,1218.75,573.75,573.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
39,2561,BibJump,ET,1243.75,1243.75,576.25,576.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
40,2562,BibJump,ET,1243.75,1243.75,576.25,576.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
41,2563,BibJump,ET,1243.75,1243.75,576.25,576.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
42,2563,BibJump,ET,1261.25,1261.25,578.75,578.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
43,2563,BibJump,ET,1261.25,1261.25,578.75,578.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
44,2564,BibJump,ET,1261.25,1261.25,578.75,578.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
45,2564,BibJump,ET,1270.0,1270.0,578.75,578.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
46,2564,BibJump,ET,1270.0,1270.0,578.75,578.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
47,2564,BibJump,ET,1260.0,1260.0,575.0,575.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
48,2565,BibJump,ET,1312.5,1312.5,575.0,575.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
49,2565,BibJump,ET,1312.5,1312.5,575.0,575.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
50,2565,BibJump,ET,1308.75,1308.75,567.4999999999999,567.4999999999999,7.0,7.0,-1.0,-1.0,-1.0,-1.0
51,2565,BibJump,ET,1308.75,1308.75,567.4999999999999,567.4999999999999,7.0,7.0,-1.0,-1.0,-1.0,-1.0
52,2566,BibJump,ET,1305.0,1305.0,562.5,562.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
53,2566,BibJump,ET,1305.0,1305.0,562.5,562.5,7.0,7.0,-1.0,-1.0,-1.0,-1.0
54,2602,BibJump,ET,1303.75,1303.75,543.75,543.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
55,2622,BibJump,ET,1025.0,1025.0,515.0,515.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
56,2622,BibJump,ET,1013.7499999999999,1013.7499999999999,516.25,516.25,7.0,7.0,-1.0,-1.0,-1.0,-1.0
57,2622,BibJump,ET,973.7500000000001,973.7500000000001,508.75,508.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
58,2623,BibJump,ET,973.7500000000001,973.7500000000001,508.75,508.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
59,2623,BibJump,ET,971.25,971.25,508.75,508.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
60,2623,BibJump,ET,971.25,971.25,508.75,508.75,7.0,7.0,-1.0,-1.0,-1.0,-1.0
