,Timestamp,StimulusName,EventSource,GazeLeftx,GazeRightx,GazeLefty,GazeRighty,PupilLeft,PupilRight,FixationSeq,SaccadeSeq,Blink,GazeAOI
0,560495712,stimulus_0,ET,506.4,515.28,412.15,429.41,7.34,7.34,-1.0,-1.0,-1.0,-1.0
1,560497708,stimulus_0,ET,512.4,522.29,415.05,432.79,7.34,7.34,0.0,0.0,-1.0,-1.0
2,560499709,stimulus_0,ET,510.24,523.7,417.02,431.96,7.34,7.34,0.0,-1.0,-1.0,-1.0
3,560501707,stimulus_0,ET,514.52,524.43,417.2,431.97,7.34,7.34,0.0,-1.0,-1.0,-1.0
4,560503706,stimulus_0,ET,512.76,523.59,421.68,429.08,7.34,7.52,0.0,-1.0,-1.0,-1.0
5,560505709,stimulus_0,ET,509.69,517.69,411.1,429.25,7.34,7.34,0.0,-1.0,-1.0,-1.0
6,560507710,stimulus_0,ET,504.05,521.67,411.98,430.48,7.16,7.34,0.0,-1.0,-1.0,-1.0
7,560509716,stimulus_0,ET,509.8,521.46,413.91,422.78,7.34,7.34,0.0,-1.0,-1.0,-1.0
8,560511734,stimulus_0,ET,505.87,522.4,413.41,426.34,7.34,7.34,0.0,-1.0,-1.0,-1.0
9,560513720,stimulus_0,ET,509.08,517.71,421.3,424.59,7.34,7.34,0.0,-1.0,-1.0,-1.0
10,560515704,stimulus_0,ET,506.66,517.11,418.19,430.84,7.34,7.34,0.0,-1.0,-1.0,-1.0
11,560517712,stimulus_0,ET,509.97,526.57,415.92,416.15,7.34,7.34,0.0,-1.0,-1.0,-1.0
12,560519707,stimulus_0,ET,511.9,523.81,421.71,435.15,7.34,7.34,0.0,-1.0,-1.0,-1.0
13,560521729,stimulus_0,ET,505.27,525.0,422.94,423.92,7.34,7.34,0.0,-1.0,-1.0,-1.0
14,560523721,stimulus_0,ET,505.64,520.71,420.57,426.81,7.34,7.34,0.0,-1.0,-1.0,-1.0
15,560525720,stimulus_0,ET,512.6,520.55,422.34,429.03,7.34,7.34,0.0,-1.0,-1.0,-1.0
16,560527718,stimulus_0,ET,510.43,520.54,412.97,424.22,7.34,7.52,0.0,-1.0,-1.0,-1.0
17,560529719,stimulus_0,ET,505.94,525.65,419.57,422.82,7.52,7.34,0.0,-1.0,-1.0,-1.0
18,560531719,stimulus_0,ET,504.57,522.23,420.18,433.66,7.34,7.34,0.0,-1.0,-1.0,-1.0
19,560533731,stimulus_0,ET,513.36,519.81,412.74,431.08,7.34,7.34,0.0,-1.0,-1.0,-1.0
20,560535758,stimulus_0,ET,518.08,522.62,424.42,425.58,7.34,7.34,0.0,-1.0,-1.0,-1.0
21,560537723,stimulus_0,ET,508.78,518.13,408.06,429.04,7.34,7.34,0.0,-1.0,-1.0,-1.0
22,560539720,stimulus_0,ET,514.21,521.69,422.23,428.35,7.34,7.52,0.0,-1.0,-1.0,-1.0
23,560541717,stimulus_0,ET,509.94,522.14,422.05,427.05,7.34,7.34,0.0,-1.0,-1.0,-1.0
24,560543720,stimulus_0,ET,510.24,519.83,413.75,432.82,7.34,7.52,0.0,-1.0,-1.0,-1.0
25,560545715,stimulus_0,ET,508.47,518.15,413.34,431.69,7.34,7.34,0.0,-1.0,-1.0,-1.0
26,560547723,stimulus_0,ET,512.15,521.44,425.17,426.31,7.34,7.34,0.0,-1.0,-1.0,-1.0
27,560549718,stimulus_0,ET,510.99,525.7,417.24,428.37,7.52,7.52,0.0,-1.0,-1.0,-1.0
28,560551718,stimulus_0,ET,517.67,521.26,421.92,427.91,7.34,7.52,0.0,-1.0,-1.0,-1.0
29,560553718,stimulus_0,ET,509.44,521.46,416.1,423.64,7.34,7.34,0.0,-1.0,-1.0,-1.0
30,560555729,stimulus_0,ET,515.92,523.42,412.73,426.74,7.34,7.52,0.0,-1.0,-1.0,-1.0
31,560557731,stimulus_0,ET,511.69,526.23,420.12,425.55,7.34,7.52,0.0,-1.0,-1.0,-1.0
32,560559716,stimulus_0,ET,510.62,523.77,422.3,432.56,7.34,7.34,0.0,-1.0,-1.0,-1.0
33,560561726,stimulus_0,ET,512.11,524.22,422.56,426.77,7.34,7.34,0.0,-1.0,-1.0,-1.0
34,560563730,stimulus_0,ET,506.94,522.33,417.35,426.81,7.34,7.34,0.0,-1.0,-1.0,-1.0
35,560565727,stimulus_0,ET,513.65,519.07,416.62,423.43,7.34,7.34,0.0,-1.0,-1.0,-1.0
